rank,patch_id,name,habitat_class,area_ha,area_pct,degree,confidence,quality,c_before,c_after,delta_connectivity,criticality_score,delta_pct,component_count_before,component_count_after,is_cut_vertex,rank_by_area
1,P01,,mangrove,35.12000000000158,15.989801493353157,5,0.8784989833085032,0.8784989833085032,6.524027900039736e-06,4.520909524017858e-06,2.003118376021878e-06,0.3070370646345148,30.70370646345148,2,2,False,1
2,P07,,mangrove,8.789999999999857,4.002003278091276,3,0.8545494246401477,0.8545494246401477,6.524027900039736e-06,4.584223201379618e-06,1.9398046986601177e-06,0.2973323732487875,29.733237324878747,2,3,True,7
3,P17,,mangrove,3.1299999999999772,1.4250591877617529,4,0.8395038416591315,0.8395038416591315,6.524027900039736e-06,4.765479863725995e-06,1.7585480363137405e-06,0.26954943529641096,26.954943529641092,2,3,True,17
4,P02,,mangrove,28.60000000000167,13.021307594245629,3,0.8344378965301114,0.8344378965301114,6.524027900039736e-06,5.069317433207058e-06,1.4547104668326777e-06,0.22297735220044315,22.297735220044316,2,2,False,2
5,P03,,mangrove,23.35000000000085,10.631032598798207,4,0.8816869502659783,0.8816869502659783,6.524027900039736e-06,5.185461807296769e-06,1.338566092742967e-06,0.20517479588565435,20.517479588565433,2,2,False,3
6,P04,,mangrove,21.17000000000051,9.638499362593372,4,0.8760591194378524,0.8760591194378524,6.524027900039736e-06,5.266138305198578e-06,1.2578895948411575e-06,0.19280873934237713,19.280873934237714,2,2,False,4
7,P06,,mangrove,19.220000000000205,8.750682935712902,3,0.8083470586559403,0.8083470586559403,6.524027900039736e-06,5.446127453621966e-06,1.0779004464177698e-06,0.16522008534194108,16.522008534194107,2,2,False,6
8,P05,,mangrove,20.190000000000357,9.19231469677652,3,0.8839320201221936,0.8839320201221936,6.524027900039736e-06,5.576108195790425e-06,9.479197042493108e-07,0.14529669688315364,14.529669688315364,2,2,False,5
9,P11,,mangrove,5.589999999999925,2.545073757056917,6,0.8205158265844014,0.8205158265844014,6.524027900039736e-06,6.105324840399234e-06,4.1870305964050185e-07,0.06417861266932222,6.417861266932223,2,2,False,11
10,P08,,mangrove,6.379999999999908,2.9047532325622742,3,0.8395187512834243,0.8395187512834243,6.524027900039736e-06,6.171685828200678e-06,3.5234207183905796e-07,0.054006830939044875,5.400683093904488,2,2,False,8
11,P09,,mangrove,5.759999999999922,2.6224731378618675,4,0.841037672633926,0.841037672633926,6.524027900039736e-06,6.218954263198692e-06,3.050736368410439e-07,0.04676154693317388,4.676154693317388,2,2,False,9
12,P12,,mangrove,4.799999999999942,2.1853942815515595,4,0.8333723433315754,0.8333723433315754,6.524027900039736e-06,6.250617942660925e-06,2.734099573788103e-07,0.04190815268848636,4.190815268848636,2,2,False,12
13,P15,,mangrove,3.6399999999999664,1.657257330176604,6,0.807902509039575,0.807902509039575,6.524027900039736e-06,6.2726059827524725e-06,2.514219172872632e-07,0.03853783600246895,3.853783600246895,2,2,False,15
14,P10,,mangrove,5.729999999999922,2.6088144236021704,3,0.8625971604184123,0.8625971604184123,6.524027900039736e-06,6.2737121238660656e-06,2.5031577617367014e-07,0.038368287200633455,3.8368287200633455,2,2,False,10
15,P13,,mangrove,3.8299999999999623,1.7437625204880192,3,0.6885399511837772,0.6885399511837772,6.524027900039736e-06,6.3124714855036025e-06,2.115564145361332e-07,0.03242727005119716,3.2427270051197157,2,2,False,13
16,P14,,mangrove,3.8099999999999627,1.7346567109815543,4,0.797429885138364,0.797429885138364,6.524027900039736e-06,6.332650269849013e-06,1.9137763019072296e-07,0.029334275254947535,2.9334275254947535,2,2,False,14
17,P18,,mangrove,2.869999999999983,1.3066836641777113,4,0.8155100304075235,0.8155100304075235,6.524027900039736e-06,6.385090877705627e-06,1.3893702233410907e-07,0.02129620296891478,2.1296202968914777,2,2,False,18
18,P19,,mangrove,2.8299999999999836,1.2884720451647818,4,0.827765458042967,0.827765458042967,6.524027900039736e-06,6.403904585780289e-06,1.201233142594466e-07,0.018412446436459135,1.8412446436459136,2,2,False,19
19,P21,,mangrove,2.4499999999999917,1.1154616645419515,4,0.8080631964060725,0.8080631964060725,6.524027900039736e-06,6.412124020876347e-06,1.1190387916338835e-07,0.017152575200162275,1.7152575200162277,2,2,False,21
20,P24,,mangrove,2.0300000000000007,0.9242396649061918,3,0.7602358889109982,0.7602358889109982,6.524027900039736e-06,6.418324932963064e-06,1.0570296707667169e-07,0.016202102243619756,1.6202102243619756,2,2,False,24
21,P16,,mangrove,3.3099999999999734,1.5070114733199356,2,0.8622112852208924,0.8622112852208924,6.524027900039736e-06,6.424936795372137e-06,9.909110466759871e-08,0.015188639010417962,1.5188639010417961,2,2,False,16
22,P22,,mangrove,2.159999999999998,0.9834274266982128,4,0.7964230960717907,0.7964230960717907,6.524027900039736e-06,6.446258959294918e-06,7.7768940744818e-08,0.011920387517708858,1.1920387517708857,2,2,False,22
23,P23,,mangrove,2.0899999999999994,0.9515570934255861,3,0.7796483416306345,0.7796483416306345,6.524027900039736e-06,6.4512978587979195e-06,7.273004124181624e-08,0.011148027316280064,1.1148027316280065,2,2,False,23
24,P20,,mangrove,2.7899999999999845,1.2702604261518524,0,0.835370630132682,0.835370630132682,6.524027900039736e-06,6.520776410994448e-06,3.2514890452876034e-09,0.000498386747436779,0.049838674743677897,2,1,False,20
